Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,0.9079614522145222,-0.5272978733282218,0.5221437274511894,-0.5064313581354142,-0.5160171698064628,1,0,1
1,-1.4819407806015217,0.5766884702256656,0.5221437274511894,-0.5064313581354142,0.693558484423958,0,0,0
1,0.9079614522145222,-0.2513012874397499,-0.5523254458009691,-0.5064313581354142,-0.5032665608794588,0,0,1
1,-1.4819407806015217,0.36969103080931176,0.5221437274511894,-0.5064313581354142,0.3500797476796701,0,0,1
0,0.9079614522145222,0.36969103080931176,-0.5523254458009691,-0.5064313581354142,-0.5009053370040876,1,0,1
0,-1.4819407806015217,1.680674813779553,-0.5523254458009691,-0.5064313581354142,0.3267036313134957,1,0,1
0,0.9079614522145222,-1.907280802770581,2.6710820739555063,0.6642800931386601,-0.2548658091904152,1,0,1
1,0.9079614522145222,-0.18230214096763195,-0.5523254458009691,1.8349915444127345,-0.442662444404633,0,0,1
1,-0.2869896641934998,-1.0792910451051654,0.5221437274511894,-0.5064313581354142,-0.08493702728590581,0,0,0
1,0.9079614522145222,-1.7692825098263452,0.5221437274511894,0.6642800931386601,-0.3375086448284049,0,0,1
1,-1.4819407806015217,1.956671399668025,-0.5523254458009691,-0.5064313581354142,-0.15144420344915935,0,0,1
0,0.9079614522145222,-0.6652961662724577,-0.5523254458009691,-0.5064313581354142,-0.5009053370040876,1,0,1
0,0.9079614522145222,0.6456876166977836,0.5221437274511894,5.347125898234958,-0.062189940960130426,1,0,1
0,0.9079614522145222,-1.0792910451051654,-0.5523254458009691,-0.5064313581354142,-0.5046039580824689,0,0,1
1,-0.2869896641934998,1.749673960251671,-0.5523254458009691,-0.5064313581354142,-0.3507314985304833,0,0,1
0,0.9079614522145222,-1.907280802770581,3.745551247207665,0.6642800931386601,-0.10280299161651395,1,1,0
0,0.9079614522145222,0.0936944449208399,0.5221437274511894,-0.5064313581354142,-0.3129519165245451,0,0,1
0,-0.2869896641934998,0.36969103080931176,-0.5523254458009691,-0.5064313581354142,-0.16183358850079235,1,0,1
